2023-08-19	0
2023-08-20	10
2023-08-21	6
2023-08-29	3
2023-08-30	2
2023-08-31	1
2023-09-10	17
2023-09-22	2
2023-09-27	2
2023-09-28	8
2023-10-01	2,5
2023-10-03	57
2023-10-08	10
2023-10-10	3
2023-10-12	8
2023-10-13	35
2023-10-14	12
2023-10-23	4
2023-10-24	12
2023-10-26	1
2023-10-27	8
2023-10-29	2
2023-11-01	18
2023-11-14	12
2023-11-19	5
2023-11-20	4
2023-11-23	22
2023-11-24	10
2023-11-26	27
2023-11-28	2
2023-11-29	35
2023-12-02	3
2023-12-03	35
2023-12-04	21
2023-12-10	3
2023-12-13	2,5
2023-12-17	1
2023-12-18	7
2023-12-29	15
2023-12-31	7
2024-01-01	1
2024-01-03	25
2024-01-05	13
2024-01-09	20
2024-01-11	2
2024-01-13	9
2024-01-15	13
2024-01-17	2
2024-01-21	25
2024-01-22	37
2024-01-23	12
2024-01-24	13
2024-01-30	5
2024-02-01	25
2024-02-02	2
2024-02-03	12
2024-02-04	36
2024-02-07	3
2024-02-08	6
2024-02-10	3
2024-02-15	78
2024-02-16	11
2024-02-18	35
2024-02-20	30
2024-02-22	6
2024-02-23	25
2024-02-25	2
2024-02-26	3
2024-03-06	3
2024-03-09	10
2024-03-11	1
2024-03-12	2
2024-03-16	20
2024-03-20	60
2024-03-24	48
2024-03-25	3
2024-03-26	32
2024-03-27	42
2024-04-01	28
2024-04-02	10
2024-04-06	3
2024-04-07	20
2024-04-09	0
2024-04-10	90
